userid,version,sum_gamerounds,retention_1,retention_7,ab_group
10636,gate_30,246,1,1,control
10637,gate_40,0,0,0,treatment
10676,gate_40,6,0,0,treatment
10756,gate_30,16,0,0,control
10884,gate_40,49,1,0,treatment
11093,gate_40,54,1,1,treatment
11127,gate_30,66,1,1,control
11297,gate_30,0,0,0,control
11411,gate_30,122,1,1,control
11420,gate_30,75,1,0,control
11599,gate_30,3,0,0,control
11675,gate_40,17,0,0,treatment
11747,gate_30,1,1,0,control
11840,gate_30,24,0,0,control
11886,gate_30,3,0,0,control
12053,gate_30,11,1,0,control
12067,gate_40,7,0,0,treatment
12163,gate_30,47,1,0,control
12393,gate_40,1,0,0,treatment
12461,gate_40,4,0,0,treatment
12523,gate_30,31,1,0,control
12558,gate_30,13,0,0,control
12574,gate_30,22,1,0,control
12749,gate_30,6,1,0,control
12905,gate_40,1,0,0,treatment
12951,gate_40,2,0,0,treatment
12967,gate_30,24,1,0,control
12979,gate_30,6,0,0,control
13133,gate_40,6,0,0,treatment
13216,gate_30,24,1,0,control
13228,gate_40,9,0,0,treatment
13320,gate_40,34,0,0,treatment
13321,gate_40,56,0,0,treatment
13376,gate_40,12,1,0,treatment
13429,gate_30,60,0,1,control
13494,gate_40,10,1,0,treatment
13633,gate_30,67,0,0,control
13664,gate_30,42,1,1,control
13721,gate_40,65,1,0,treatment
13758,gate_30,1,0,0,control
13806,gate_30,4,0,0,control
13856,gate_30,3,0,0,control
13872,gate_30,1,0,0,control
13893,gate_40,14,0,0,treatment
13969,gate_40,42,0,0,treatment
14143,gate_30,13,0,0,control
14218,gate_30,129,0,1,control
14290,gate_40,6,1,0,treatment
14296,gate_30,37,0,0,control
14381,gate_40,9,0,0,treatment
14592,gate_30,1,0,0,control
14644,gate_40,2,0,0,treatment
14834,gate_30,27,0,0,control
15157,gate_40,38,0,0,treatment
15173,gate_30,8,0,0,control
15294,gate_30,51,1,1,control
15489,gate_30,5,0,0,control
15597,gate_40,2,0,0,treatment
15962,gate_30,0,0,0,control
15970,gate_40,16,1,0,treatment
16096,gate_40,0,0,0,treatment
16145,gate_40,7,0,0,treatment
16180,gate_30,5,0,0,control
16224,gate_40,0,0,0,treatment
16454,gate_40,11,0,0,treatment
16504,gate_40,0,0,0,treatment
16506,gate_30,4,1,0,control
16638,gate_40,51,1,0,treatment
16696,gate_40,5,0,0,treatment
17085,gate_40,33,0,0,treatment
17167,gate_30,21,0,0,control
17270,gate_30,49,1,0,control
17422,gate_40,2,0,0,treatment
17461,gate_30,1,0,0,control
17477,gate_30,46,1,1,control
17506,gate_40,127,1,1,treatment
17554,gate_30,1,0,0,control
17814,gate_30,14,0,0,control
17903,gate_40,17,0,0,treatment
17947,gate_30,104,1,1,control
17995,gate_30,6,0,0,control
18013,gate_40,21,1,0,treatment
18213,gate_40,36,1,0,treatment
18235,gate_30,8,0,0,control
18374,gate_40,53,1,0,treatment
18731,gate_30,1,0,0,control
18756,gate_30,38,1,1,control
18778,gate_30,13,0,0,control
18827,gate_30,20,1,0,control
18849,gate_40,74,1,1,treatment
18993,gate_40,25,1,0,treatment
19077,gate_30,11,0,0,control
19091,gate_40,1,0,0,treatment
19474,gate_40,2,0,0,treatment
19490,gate_30,72,1,0,control
19529,gate_40,22,0,0,treatment
19537,gate_40,2,0,0,treatment
19593,gate_40,18,0,0,treatment
19673,gate_40,4,0,0,treatment
19721,gate_40,18,0,0,treatment
19728,gate_40,79,1,1,treatment
19746,gate_30,65,0,1,control
19896,gate_40,13,1,0,treatment
19993,gate_30,5,1,0,control
20005,gate_30,4,0,0,control
20052,gate_30,8,0,0,control
20136,gate_30,0,0,0,control
20358,gate_40,19,0,1,treatment
20365,gate_40,6,0,0,treatment
20465,gate_30,108,1,0,control
20489,gate_40,2,0,0,treatment
20587,gate_40,26,0,0,treatment
20591,gate_40,2,1,0,treatment
20721,gate_40,99,0,1,treatment
20763,gate_30,10,0,0,control
20790,gate_40,5,1,0,treatment
20832,gate_30,13,1,0,control
20940,gate_40,1,0,0,treatment
21072,gate_40,16,0,0,treatment
21130,gate_40,1,0,0,treatment
21137,gate_40,91,1,0,treatment
21228,gate_40,149,1,1,treatment
21408,gate_30,20,1,0,control
21442,gate_40,68,1,0,treatment
21755,gate_40,12,0,1,treatment
22069,gate_40,7,0,0,treatment
22082,gate_40,3,0,0,treatment
22167,gate_40,277,1,1,treatment
22299,gate_40,493,1,1,treatment
22398,gate_30,4,0,0,control
22486,gate_40,3,0,0,treatment
22676,gate_40,8,0,0,treatment
22919,gate_40,1,0,0,treatment
22935,gate_30,274,1,1,control
22972,gate_30,17,0,0,control
23023,gate_40,32,0,1,treatment
23026,gate_40,1,0,0,treatment
23084,gate_40,85,1,1,treatment
23094,gate_40,12,0,0,treatment
23126,gate_40,1,0,0,treatment
23270,gate_30,8,0,0,control
23333,gate_30,9,0,0,control
23374,gate_30,8,1,0,control
23525,gate_40,191,1,1,treatment
23702,gate_40,115,1,0,treatment
23748,gate_40,45,1,0,treatment
24036,gate_40,15,0,0,treatment
24222,gate_30,134,1,1,control
24302,gate_40,19,1,0,treatment
24328,gate_30,2,0,0,control
24382,gate_30,22,1,0,control
24397,gate_30,6,0,0,control
24981,gate_40,18,0,0,treatment
25047,gate_30,0,0,0,control
25281,gate_30,0,0,0,control
25293,gate_40,12,0,0,treatment
25332,gate_30,152,1,1,control
25466,gate_40,2,0,0,treatment
25903,gate_30,8,1,0,control
25941,gate_40,73,1,0,treatment
25958,gate_30,0,0,0,control
26083,gate_30,100,1,1,control
26243,gate_40,250,1,1,treatment
26253,gate_30,10,0,0,control
26466,gate_40,13,1,0,treatment
26502,gate_30,147,1,1,control
26586,gate_30,391,1,0,control
27135,gate_30,18,0,0,control
27163,gate_40,23,0,0,treatment
27605,gate_30,19,1,0,control
27693,gate_30,4,0,0,control
27754,gate_30,14,0,0,control
27759,gate_30,61,1,1,control
27849,gate_40,61,1,0,treatment
27851,gate_40,75,1,0,treatment
27979,gate_30,75,0,0,control
28025,gate_30,57,1,0,control
28091,gate_30,35,1,0,control
28123,gate_30,9,0,0,control
28332,gate_30,13,0,0,control
28405,gate_30,1,0,0,control
28433,gate_30,20,0,0,control
28497,gate_40,77,1,1,treatment
29185,gate_40,3,0,0,treatment
29311,gate_40,7,0,0,treatment
29317,gate_40,6,0,0,treatment
29455,gate_30,51,1,1,control
29522,gate_40,197,0,1,treatment
29658,gate_30,2,0,0,control
29677,gate_40,22,0,0,treatment
29753,gate_40,69,1,0,treatment
29861,gate_40,4,0,0,treatment
29999,gate_30,260,1,1,control
30039,gate_40,20,0,0,treatment
30059,gate_30,4,0,0,control
30274,gate_30,7,1,0,control
30277,gate_30,0,0,0,control
30343,gate_30,8,1,1,control
30348,gate_30,48,1,1,control
30594,gate_40,15,1,0,treatment
30631,gate_30,61,0,1,control
30868,gate_30,1,0,0,control
30928,gate_30,12,1,0,control
31073,gate_30,270,1,1,control
31151,gate_30,59,0,0,control
31200,gate_30,141,1,0,control
31214,gate_30,53,0,1,control
31222,gate_40,20,0,0,treatment
31638,gate_40,16,0,0,treatment
31691,gate_30,0,0,0,control
31812,gate_30,37,1,0,control
31903,gate_30,467,1,1,control
32292,gate_40,25,0,0,treatment
32403,gate_40,2,1,0,treatment
32569,gate_40,4,0,0,treatment
32595,gate_40,11,1,0,treatment
32642,gate_30,40,0,0,control
32730,gate_30,9,0,0,control
32942,gate_40,11,1,1,treatment
33097,gate_30,12,0,0,control
33126,gate_30,6,0,0,control
33189,gate_40,9,1,0,treatment
33274,gate_40,4,0,0,treatment
33316,gate_40,18,1,0,treatment
33445,gate_30,77,0,1,control
33489,gate_30,4,0,0,control
33639,gate_40,45,1,0,treatment
33703,gate_40,43,1,0,treatment
33794,gate_30,3,0,0,control
33954,gate_40,30,1,0,treatment
33967,gate_30,33,1,1,control
34016,gate_40,47,1,0,treatment
34022,gate_40,72,0,1,treatment
34027,gate_40,16,0,0,treatment
34076,gate_40,2,0,0,treatment
34447,gate_40,93,1,1,treatment
34469,gate_30,222,1,1,control
34597,gate_40,334,1,1,treatment
34647,gate_40,8,0,0,treatment
34706,gate_30,29,1,0,control
34842,gate_40,27,1,0,treatment
34859,gate_30,16,0,0,control
34906,gate_30,10,1,0,control
34942,gate_40,8,0,0,treatment
35027,gate_40,58,1,0,treatment
35056,gate_30,84,1,0,control
35156,gate_30,1,0,0,control
35458,gate_40,56,0,0,treatment
35460,gate_30,43,1,0,control
35730,gate_30,50,1,0,control
35837,gate_30,23,1,0,control
35886,gate_30,5,0,0,control
35922,gate_30,21,1,0,control
36003,gate_30,48,1,0,control
36047,gate_40,85,1,1,treatment
36077,gate_30,13,1,0,control
36279,gate_30,41,1,0,control
36280,gate_30,5,0,0,control
36298,gate_40,1,0,0,treatment
36356,gate_30,303,1,1,control
36513,gate_40,18,1,0,treatment
36560,gate_40,48,1,0,treatment
36622,gate_30,4,1,0,control
36664,gate_40,51,0,1,treatment
36673,gate_30,5,0,0,control
36761,gate_40,134,1,1,treatment
36887,gate_40,11,1,0,treatment
36921,gate_30,3,0,0,control
36997,gate_40,9,1,0,treatment
37155,gate_40,3,0,0,treatment
37303,gate_30,177,1,1,control
37366,gate_40,11,1,0,treatment
37461,gate_40,20,0,1,treatment
37740,gate_30,39,1,1,control
37823,gate_30,12,1,0,control
37872,gate_30,12,1,0,control
37994,gate_40,2,0,0,treatment
38151,gate_30,9,1,0,control
38232,gate_30,216,1,1,control
38249,gate_40,30,1,0,treatment
38292,gate_30,9,0,0,control
39069,gate_30,227,0,0,control
39382,gate_30,0,0,0,control
39494,gate_30,87,1,0,control
39531,gate_30,71,1,0,control
39774,gate_40,567,1,1,treatment
39902,gate_40,13,1,0,treatment
39932,gate_30,55,1,1,control
39993,gate_40,14,0,0,treatment
40233,gate_40,78,1,0,treatment
40292,gate_30,1,0,0,control
40359,gate_30,3,0,0,control
40378,gate_30,552,1,1,control
40427,gate_30,96,1,0,control
40566,gate_30,2,0,0,control
40593,gate_30,12,1,1,control
40630,gate_40,99,1,0,treatment
40653,gate_30,107,1,0,control
40687,gate_30,12,0,0,control
40749,gate_40,2,0,0,treatment
40812,gate_40,2,0,0,treatment
41112,gate_30,4,0,0,control
41192,gate_30,28,0,0,control
41378,gate_40,9,0,0,treatment
41795,gate_30,136,1,1,control
41842,gate_40,15,0,0,treatment
41934,gate_40,8,0,0,treatment
41988,gate_40,1,0,0,treatment
42077,gate_30,12,1,0,control
42316,gate_30,6,0,0,control
42407,gate_30,45,0,1,control
42457,gate_30,12,0,0,control
42688,gate_40,13,0,0,treatment
42703,gate_30,9,1,0,control
42758,gate_40,11,1,0,treatment
42994,gate_40,113,1,1,treatment
43091,gate_30,6,1,0,control
43368,gate_40,32,0,0,treatment
43644,gate_30,17,1,0,control
43744,gate_30,141,1,0,control
43757,gate_30,28,0,0,control
44400,gate_40,95,1,0,treatment
44493,gate_40,339,1,1,treatment
44498,gate_30,24,1,0,control
44591,gate_30,5,0,0,control
44670,gate_30,6,0,0,control
44751,gate_30,10,0,0,control
44780,gate_30,9,0,0,control
44910,gate_40,6,0,0,treatment
45066,gate_30,85,1,0,control
45083,gate_40,54,0,0,treatment
45167,gate_30,19,0,0,control
45694,gate_40,6,1,0,treatment
45698,gate_30,452,1,1,control
45753,gate_30,26,1,0,control
45813,gate_40,12,1,0,treatment
45895,gate_40,2,1,0,treatment
45896,gate_40,11,1,0,treatment
45952,gate_40,3,0,0,treatment
46007,gate_30,6,0,0,control
46022,gate_40,7,0,0,treatment
46347,gate_30,57,0,0,control
46472,gate_40,16,0,0,treatment
46576,gate_30,15,0,0,control
46624,gate_40,148,1,1,treatment
46629,gate_40,57,1,0,treatment
46746,gate_40,3,1,0,treatment
46806,gate_30,163,1,1,control
46919,gate_40,47,1,0,treatment
46938,gate_30,54,0,0,control
47377,gate_40,2,0,0,treatment
47816,gate_30,220,1,1,control
47822,gate_40,63,1,1,treatment
47990,gate_40,25,1,0,treatment
48016,gate_30,0,0,0,control
48116,gate_30,1,0,0,control
48130,gate_30,2,0,0,control
48201,gate_40,84,1,1,treatment
48631,gate_40,60,0,0,treatment
48658,gate_30,216,1,1,control
48677,gate_40,17,1,0,treatment
48942,gate_30,290,1,1,control
48990,gate_40,3,0,0,treatment
49147,gate_40,24,1,0,treatment
49311,gate_40,5,0,0,treatment
49330,gate_30,18,0,0,control
49373,gate_30,5,0,0,control
49600,gate_30,20,0,0,control
49811,gate_40,9,1,0,treatment
49995,gate_40,15,1,0,treatment
50011,gate_40,4,0,0,treatment
50158,gate_40,87,1,1,treatment
50237,gate_40,86,1,0,treatment
50339,gate_40,0,0,0,treatment
50386,gate_40,4,0,0,treatment
50547,gate_30,356,0,0,control
50665,gate_30,10,1,0,control
50686,gate_40,3,0,1,treatment
50688,gate_30,0,0,0,control
50794,gate_40,0,0,0,treatment
50811,gate_30,3,0,0,control
50850,gate_30,34,1,1,control
51155,gate_30,34,0,0,control
51267,gate_30,0,0,0,control
51295,gate_30,117,1,1,control
51310,gate_30,23,0,1,control
51430,gate_30,34,1,0,control
51636,gate_40,8,0,0,treatment
51641,gate_40,20,1,0,treatment
51823,gate_40,54,1,1,treatment
51894,gate_30,4,0,0,control
51970,gate_40,76,0,1,treatment
52100,gate_40,55,1,0,treatment
52177,gate_40,3,0,0,treatment
52271,gate_40,2,0,0,treatment
52357,gate_30,22,1,0,control
52420,gate_30,15,1,1,control
52636,gate_40,3,0,0,treatment
53149,gate_40,4,0,0,treatment
53373,gate_40,298,1,1,treatment
53393,gate_30,338,1,1,control
53450,gate_40,1,0,0,treatment
53464,gate_40,12,0,0,treatment
53470,gate_40,7,0,0,treatment
53597,gate_40,5,0,0,treatment
53638,gate_30,16,0,0,control
53763,gate_30,9,1,0,control
53935,gate_40,4,0,0,treatment
53996,gate_40,115,1,1,treatment
54069,gate_30,170,1,1,control
54162,gate_30,174,1,1,control
54178,gate_30,21,0,0,control
54244,gate_40,4,0,0,treatment
54256,gate_40,6,0,0,treatment
54403,gate_30,6,0,0,control
54580,gate_30,22,0,0,control
54617,gate_40,12,0,0,treatment
54680,gate_40,2,0,0,treatment
54681,gate_40,2,0,0,treatment
54754,gate_30,70,1,0,control
54776,gate_30,0,0,0,control
54975,gate_30,3,0,0,control
55139,gate_30,25,0,0,control
55213,gate_40,141,1,1,treatment
55250,gate_40,47,1,1,treatment
55480,gate_30,1,0,0,control
55621,gate_30,32,0,0,control
56116,gate_40,3,0,0,treatment
56237,gate_40,10,0,0,treatment
56269,gate_30,2,0,0,control
56294,gate_40,2,1,0,treatment
56446,gate_30,15,0,0,control
56496,gate_40,543,1,1,treatment
56522,gate_30,10,0,0,control
56587,gate_40,54,1,0,treatment
56815,gate_30,202,1,1,control
56895,gate_40,2,0,0,treatment
56997,gate_40,41,0,0,treatment
57149,gate_30,15,0,0,control
57321,gate_30,54,0,0,control
57334,gate_40,5,1,0,treatment
57339,gate_40,22,1,0,treatment
57369,gate_40,399,1,1,treatment
57401,gate_30,13,1,0,control
57429,gate_40,29,1,0,treatment
57516,gate_30,38,1,1,control
57833,gate_40,0,0,0,treatment
58180,gate_40,19,1,0,treatment
58189,gate_30,23,0,0,control
58289,gate_30,237,1,1,control
58394,gate_40,25,1,0,treatment
58592,gate_40,85,1,0,treatment
58700,gate_30,0,0,0,control
58768,gate_30,11,0,0,control
58813,gate_40,1,0,0,treatment
59164,gate_30,7,1,0,control
59395,gate_30,33,1,1,control
59531,gate_30,18,0,0,control
60035,gate_40,14,0,0,treatment
60103,gate_40,18,0,0,treatment
60160,gate_40,11,1,0,treatment
60410,gate_40,26,1,0,treatment
60424,gate_30,6,0,0,control
60619,gate_40,65,1,0,treatment
60929,gate_40,16,1,0,treatment
60956,gate_40,17,0,0,treatment
60984,gate_30,139,0,1,control
61104,gate_30,0,0,0,control
61245,gate_30,24,1,0,control
61462,gate_30,23,0,0,control
61563,gate_30,7,0,0,control
61595,gate_40,29,0,0,treatment
61609,gate_30,4,0,0,control
61651,gate_30,3,0,0,control
61952,gate_30,19,0,0,control
61979,gate_30,2,0,0,control
62084,gate_30,12,0,0,control
62145,gate_40,1,0,0,treatment
62206,gate_30,0,0,0,control
62434,gate_30,6,0,0,control
62437,gate_40,5,0,0,treatment
62566,gate_40,67,1,0,treatment
62700,gate_40,36,1,1,treatment
62704,gate_40,2,0,0,treatment
62879,gate_30,1,0,0,control
63001,gate_40,33,1,0,treatment
63335,gate_30,9,1,0,control
63370,gate_30,179,1,1,control
63473,gate_30,1,0,0,control
63478,gate_30,202,1,1,control
63480,gate_30,9,1,0,control
63555,gate_40,43,0,0,treatment
63617,gate_30,902,1,1,control
63766,gate_30,6,0,0,control
63786,gate_40,22,0,0,treatment
63832,gate_30,1,0,0,control
63889,gate_30,9,1,1,control
63962,gate_30,4,1,0,control
64052,gate_30,1,0,0,control
64224,gate_40,15,0,1,treatment
64235,gate_30,1,0,0,control
64309,gate_40,125,1,0,treatment
64643,gate_40,24,0,0,treatment
64646,gate_40,1,0,1,treatment
64792,gate_30,269,1,0,control
64849,gate_40,31,1,0,treatment
64930,gate_30,510,1,0,control
64944,gate_40,62,0,0,treatment
65032,gate_40,5,0,0,treatment
65452,gate_30,16,0,0,control
65482,gate_40,10,0,0,treatment
65511,gate_30,4,0,0,control
66120,gate_40,28,0,0,treatment
66509,gate_30,46,1,0,control
66677,gate_40,1,0,0,treatment
66713,gate_40,4,0,0,treatment
66947,gate_40,13,1,0,treatment
67078,gate_30,9,0,0,control
67122,gate_30,18,0,0,control
67190,gate_40,15,0,0,treatment
67193,gate_40,1,0,0,treatment
67234,gate_30,3,0,0,control
67387,gate_30,12,0,0,control
67654,gate_40,8,0,0,treatment
67829,gate_40,0,0,0,treatment
67910,gate_40,18,1,0,treatment
67950,gate_30,7,0,0,control
68020,gate_40,52,0,1,treatment
68112,gate_30,0,0,0,control
68151,gate_40,136,1,0,treatment
68386,gate_30,5,0,0,control
68394,gate_40,474,1,1,treatment
68406,gate_40,5,0,0,treatment
68485,gate_30,26,1,0,control
68698,gate_40,83,1,0,treatment
68856,gate_30,1,0,0,control
68887,gate_40,1,0,0,treatment
68915,gate_40,121,0,0,treatment
68965,gate_40,105,1,1,treatment
69027,gate_40,2,0,0,treatment
69050,gate_30,20,1,0,control
69392,gate_30,46,0,0,control
69488,gate_30,5,0,0,control
69649,gate_40,80,1,1,treatment
69870,gate_40,210,1,1,treatment
69917,gate_40,16,1,0,treatment
69927,gate_30,1906,1,1,control
69998,gate_30,16,0,0,control
70074,gate_30,0,0,0,control
70127,gate_30,1,0,0,control
70175,gate_40,35,1,1,treatment
70294,gate_40,199,1,0,treatment
70522,gate_40,6,0,0,treatment
70570,gate_30,5,0,0,control
70899,gate_40,3,0,0,treatment
71062,gate_30,25,1,0,control
71119,gate_30,118,1,1,control
71161,gate_40,68,1,0,treatment
71165,gate_40,105,1,0,treatment
71205,gate_30,5,0,0,control
71235,gate_30,38,1,0,control
71326,gate_40,8,0,0,treatment
71489,gate_30,7,0,0,control
71635,gate_30,4,0,0,control
71698,gate_30,6,0,0,control
71777,gate_40,12,0,0,treatment
72085,gate_40,103,1,0,treatment
72164,gate_30,259,1,1,control
72353,gate_40,5,0,0,treatment
72419,gate_40,12,1,0,treatment
72470,gate_40,6,1,0,treatment
72555,gate_30,298,1,1,control
72614,gate_40,3,0,0,treatment
72661,gate_40,1,0,0,treatment
72752,gate_40,15,0,0,treatment
72813,gate_30,6,1,0,control
72872,gate_30,10,0,0,control
72918,gate_40,13,0,0,treatment
72977,gate_40,12,1,0,treatment
73378,gate_40,34,1,0,treatment
73412,gate_30,3,0,0,control
73868,gate_40,2,0,0,treatment
74231,gate_30,7,0,0,control
74276,gate_30,24,1,1,control
74369,gate_40,7,0,0,treatment
74377,gate_30,53,1,0,control
74422,gate_40,38,0,1,treatment
74568,gate_30,11,1,0,control
75029,gate_40,98,1,0,treatment
75734,gate_40,4,0,0,treatment
76062,gate_30,5,0,0,control
76089,gate_40,3,0,0,treatment
76133,gate_30,50,0,0,control
76549,gate_30,149,0,1,control
76573,gate_30,20,1,0,control
76598,gate_30,1,0,0,control
76662,gate_40,30,1,0,treatment
76767,gate_40,4,0,0,treatment
76784,gate_40,53,1,0,treatment
76895,gate_40,5,0,0,treatment
76917,gate_30,113,1,0,control
76934,gate_40,2,0,0,treatment
77151,gate_40,2,0,0,treatment
77172,gate_30,0,0,0,control
77195,gate_40,25,1,0,treatment
77468,gate_30,12,0,0,control
77495,gate_40,59,0,0,treatment
77644,gate_30,15,0,0,control
77731,gate_30,106,1,1,control
77812,gate_40,2,0,0,treatment
77821,gate_40,7,0,0,treatment
77837,gate_40,6,0,0,treatment
77850,gate_30,59,1,0,control
78089,gate_30,47,0,0,control
78142,gate_40,1,0,0,treatment
78183,gate_30,34,1,0,control
78237,gate_30,4,0,0,control
78312,gate_30,12,0,0,control
78409,gate_30,15,1,0,control
78563,gate_40,32,0,0,treatment
78846,gate_30,0,0,0,control
78900,gate_30,2,0,0,control
79646,gate_40,34,1,0,treatment
79890,gate_30,11,0,0,control
79929,gate_40,16,0,0,treatment
80215,gate_40,2,0,0,treatment
80282,gate_30,128,1,1,control
80485,gate_40,9,0,0,treatment
80496,gate_40,0,0,0,treatment
80526,gate_30,34,0,1,control
80582,gate_40,7,0,0,treatment
80618,gate_40,7,0,0,treatment
80634,gate_40,215,1,1,treatment
80746,gate_30,1,0,0,control
80754,gate_40,0,0,0,treatment
80860,gate_40,231,1,0,treatment
80884,gate_30,5,0,0,control
80900,gate_40,16,0,0,treatment
81447,gate_30,34,0,0,control
81480,gate_40,2,0,0,treatment
81524,gate_30,34,1,0,control
81532,gate_30,2,0,0,control
81668,gate_40,12,0,0,treatment
81959,gate_40,6,0,0,treatment
82064,gate_30,41,1,0,control
82545,gate_40,36,0,0,treatment
82655,gate_40,13,0,0,treatment
82753,gate_30,3,0,0,control
82783,gate_40,36,1,1,treatment
82937,gate_40,28,0,0,treatment
83072,gate_30,11,1,0,control
83080,gate_40,12,0,0,treatment
83103,gate_30,7,0,0,control
83140,gate_40,14,0,0,treatment
83254,gate_30,3,1,0,control
83309,gate_40,0,0,0,treatment
83317,gate_40,5,0,0,treatment
83438,gate_40,129,1,1,treatment
83732,gate_40,95,0,1,treatment
83798,gate_40,96,1,0,treatment
84100,gate_30,160,1,0,control
84191,gate_30,0,0,0,control
84208,gate_40,17,0,0,treatment
84406,gate_40,24,1,0,treatment
84816,gate_40,11,1,0,treatment
84929,gate_40,6,0,0,treatment
84961,gate_40,26,0,0,treatment
85007,gate_40,110,1,1,treatment
85277,gate_30,61,1,1,control
85560,gate_30,5,0,0,control
85601,gate_30,15,0,0,control
85805,gate_40,3,0,0,treatment
86342,gate_30,12,0,0,control
86781,gate_40,1,0,0,treatment
86821,gate_40,65,1,0,treatment
87098,gate_40,2,0,0,treatment
87220,gate_40,18,0,0,treatment
87258,gate_40,275,1,1,treatment
87276,gate_30,19,0,1,control
87410,gate_30,26,0,0,control
87419,gate_30,46,0,0,control
87509,gate_40,3,0,0,treatment
87542,gate_30,40,1,0,control
87640,gate_40,13,0,0,treatment
87649,gate_40,8,0,0,treatment
87671,gate_40,2,0,0,treatment
87697,gate_40,3,0,0,treatment
87728,gate_40,4,0,0,treatment
87827,gate_30,37,1,0,control
88235,gate_40,11,0,0,treatment
88282,gate_30,22,1,0,control
88361,gate_40,55,0,1,treatment
88392,gate_30,20,1,0,control
88497,gate_30,197,1,1,control
88521,gate_40,44,0,0,treatment
88907,gate_30,133,1,0,control
89272,gate_40,0,0,0,treatment
89605,gate_40,2,0,0,treatment
89618,gate_30,21,0,0,control
90120,gate_30,2,0,0,control
90233,gate_30,5,0,0,control
90335,gate_40,2,0,0,treatment
90481,gate_40,14,0,0,treatment
90566,gate_30,0,0,0,control
90640,gate_30,44,0,1,control
90744,gate_30,14,0,0,control
90755,gate_30,76,1,0,control
90892,gate_30,52,1,0,control
90916,gate_40,88,1,1,treatment
90979,gate_30,36,1,0,control
90992,gate_40,66,1,0,treatment
